Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.countdown.shallow.10000.heftia,163522558,13788940,1760148,639,6291456
All.countdown.shallow.10000.freer,152550585,14554530,1600148,585,6291456
All.countdown.shallow.10000.polysemy,1210907031,85155756,13361454,6170,6291456
All.countdown.shallow.10000.fused,4606185,417010,24,0,7340032
All.countdown.shallow.10000.effectful,144282421,13854886,1121628,528,7340032
All.countdown.shallow.10000.eff,45301977,4267198,320370,118,7340032
All.countdown.shallow.10000.mp,200396093,14387262,4241052,1670,7340032
All.countdown.shallow.10000.mp.safe,984811718,53868274,13281007,4878,7340032
All.countdown.shallow.10000.mtl,4574971,211910,24,0,7340032
All.countdown.deep.10000.heftia.5+5,1259175000,108389900,17760427,6801,7340032
All.countdown.deep.10000.freer.5+5,588141015,53207936,10400183,3926,7340032
All.countdown.deep.10000.polysemy.5+5,2276475000,216220784,37363416,16379,7340032
All.countdown.deep.10000.fused.5+5,2675120312,264806350,27121176,10230,7340032
All.countdown.deep.10000.effectful.5+5,142829589,13728670,1136955,1951,7340032
All.countdown.deep.10000.eff.5+5,45691040,3764084,326218,327,7340032
All.countdown.deep.10000.mp.5+5,200612792,13850956,4242291,1967,7340032
All.countdown.deep.10000.mp.safe.5+5,177285,13044,1776,0,7340032
All.countdown.deep.10000.mtl.5+5,4592114,249386,24,0,7340032
All.catch.shallow.10000.heftia,265078710,26265936,4069575,186132,7340032
All.catch.shallow.10000.polysemy,1096964843,62609902,7764872,207499,9437184
All.catch.shallow.10000.fused,20535089,1038684,65584,20,10485760
All.catch.shallow.10000.effectful,764542968,52975594,5525881,738054,10485760
All.catch.shallow.10000.eff,464497000000,35911251718,411301708,12715061,618659840
All.catch.shallow.10000.mp,685035156,56722754,5521304,714988,618659840
All.catch.shallow.10000.mp.safe,684382812,56670346,5521302,714992,618659840
All.catch.shallow.10000.mtl,20778747,1811618,65585,19,618659840
All.catch.deep.10000.heftia.5+5,3207579687,270340618,16870349,7000549,618659840
All.catch.deep.10000.polysemy.5+5,6628881250,427731852,55153518,4628815,618659840
All.catch.deep.10000.fused.5+5,1640223437,118448712,16165027,163797,618659840
All.catch.deep.10000.effectful.5+5,769606640,55283286,5541296,749341,618659840
All.catch.deep.10000.eff.5+5,443558700000,42612300232,412069088,11121243,752877568
All.catch.deep.10000.mp.5+5,686224609,52949390,5522975,716047,752877568
All.catch.deep.10000.mp.safe.5+5,689779296,67003426,5522974,715691,752877568
All.catch.deep.10000.mtl.5+5,20557727,1917144,65561,18,752877568
All.local.shallow.10000.heftia,916260156,52526634,7205006,1221596,752877568
All.local.shallow.10000.polysemy,2124418750,210162438,12629968,2703811,752877568
All.local.shallow.10000.fused,4774111,279022,24,0,752877568
All.local.shallow.10000.effectful,601721093,56001274,4570135,574401,752877568
All.local.shallow.10000.eff,452918000000,34153702288,409636572,13581054,752877568
All.local.shallow.10000.mp,604977734,56436258,4953497,789908,752877568
All.local.shallow.10000.mp.safe,607071875,52303900,4953471,788522,752877568
All.local.shallow.10000.mtl,4810366,413556,24,0,752877568
All.local.deep.10000.heftia.5+5,3749079687,237246812,16005942,7459559,752877568
All.local.deep.10000.polysemy.5+5,5996592187,2037002024,30231895,6306868,752877568
All.local.deep.10000.fused.5+5,4882800,482138,24,0,752877568
All.local.deep.10000.effectful.5+5,609075000,28529082,4618375,582647,752877568
All.local.deep.10000.eff.5+5,453760400000,36473846420,410441281,13711286,752877568
All.local.deep.10000.mp.5+5,608158593,56219640,4955185,788048,752877568
All.local.deep.10000.mp.safe.5+5,609276562,52750240,4955182,787240,752877568
All.local.deep.10000.mtl.5+5,4787712,224200,24,0,752877568
All.nondet.shallow.32.heftia,1891283593,108166294,13454068,1945248,752877568
All.nondet.shallow.32.freer,3282559375,257923452,15889859,4780881,752877568
All.nondet.shallow.32.polysemy,7193621875,429157346,43492404,3416546,752877568
All.nondet.shallow.32.fused,243411718,13332118,3606900,1153,752877568
All.nondet.shallow.32.eff,23793037500,1401371752,97193318,8295941,752877568
All.nondet.shallow.32.mp,1742138281,109511428,21022764,12764,752877568
All.nondet.shallow.32.mp.safe,1657255468,155759602,21022764,12734,752877568
All.nondet.shallow.32.mtl-logict,221739160,13343036,1987323,1425,752877568
All.nondet.deep.32.heftia.5+5,5335218750,293379106,67559993,2557426,752877568
All.nondet.deep.32.freer.5+5,5497640625,282652966,45645729,5768489,752877568
All.nondet.deep.32.polysemy.5+5,7229446875,427983410,43569752,3479405,752877568
All.nondet.deep.32.fused.5+5,2406105468,113253348,26810500,11473,752877568
All.nondet.deep.32.eff.5+5,44109975000,1878912018,285300246,10462643,752877568
All.nondet.deep.32.mtl-logict.5+5,238598144,14468932,1969091,1434,752877568
