Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.countdown.shallow.10000.heftia,805175781,73196286,10640928,6118,7340032
All.countdown.shallow.10000.freer,528742187,36593776,6080468,3255,7340032
All.countdown.shallow.10000.polysemy,1835438281,176464194,17281847,9926,7340032
All.countdown.shallow.10000.fused,1813105859,124061592,11920873,6427,7340032
All.countdown.shallow.10000.effectful,777799218,72313214,5202038,8213,7340032
All.countdown.shallow.10000.eff,907639062,61137242,6268897,3353,7340032
All.countdown.shallow.10000.effective,1699401562,125750872,10801408,5907,7340032
All.countdown.shallow.10000.effective.naive,1692728125,114402826,11601183,6062,7340032
All.countdown.shallow.10000.mp,899805468,80134212,7041725,4025,7340032
All.countdown.shallow.10000.mp.safe,2249822656,287268350,19361584,10119,7340032
All.countdown.shallow.10000.mtl.logict,679873828,38050714,4080228,2028,7340032
All.countdown.shallow.10000.handrolled.logict,584314453,57115814,2880408,1471,7340032
All.countdown.deep.10000.heftia,3001523437,262598232,38643716,23507,7340032
All.countdown.deep.10000.freer,990785156,67317874,14881328,7936,7340032
All.countdown.deep.10000.polysemy,2928279687,221915770,41284511,23554,7340032
All.countdown.deep.10000.fused,11022987500,868600604,63365121,36413,7340032
All.countdown.deep.10000.effectful,746461132,37883882,5218124,12475,7340032
All.countdown.deep.10000.eff,890927343,62003718,6269554,8140,7340032
All.countdown.deep.10000.effective,1761017968,128018384,11213136,12671,7340032
All.countdown.deep.10000.effective.naive,3434736718,439670358,15371462,12930,7340032
All.countdown.deep.10000.mp,1517808203,61827278,9444744,8057,7340032
All.countdown.deep.10000.mp.safe,5386112500,268041660,48965259,26637,7340032
All.countdown.deep.10000.mtl.logict,5331137500,419290696,30882789,16569,7340032
All.countdown.deep.10000.handrolled.logict,6126293750,451448148,30882825,16573,7340032
All.catch.shallow.10000.heftia,1089264843,53323232,7913895,1075239,9437184
All.catch.shallow.10000.freer,310907226,29654104,2571779,140338,9437184
All.catch.shallow.10000.polysemy,2873096875,252298344,22351479,1682808,12582912
All.catch.shallow.10000.fused,3436815625,238239066,13075273,3255696,13631488
All.catch.shallow.10000.effectful,2141057031,105552890,12013479,2924013,13631488
All.catch.shallow.10000.eff,378955000000,81021687096,415979505,10925995,766509056
All.catch.shallow.10000.mp,1680057812,188006148,8161735,2595176,766509056
All.catch.shallow.10000.mp.safe,1660193750,106723330,8161802,2598344,766509056
All.catch.shallow.10000.mtl.logict,256897753,14716122,1673341,49475,766509056
All.catch.shallow.10000.effective,987951562,62613396,5433984,550740,766509056
All.catch.shallow.10000.effective.naive,1117543750,74211252,6393799,695341,766509056
All.catch.shallow.10000.handrolled.logict,227466992,14197720,1593381,46382,766509056
All.catch.deep.10000.heftia,8221465625,485757816,33116273,14366140,766509056
All.catch.deep.10000.freer,313546484,27050308,2572595,141947,766509056
All.catch.deep.10000.polysemy,7115490625,551735798,57554480,5162869,766509056
All.catch.deep.10000.fused,16289031250,1237943134,64806045,8875820,766509056
All.catch.deep.10000.effectful,2174712500,127172872,12032258,3009006,766509056
All.catch.deep.10000.eff,392794700000,47019590216,416786990,11628045,766509056
All.catch.deep.10000.mp,1666946875,120552014,8165093,2621044,766509056
All.catch.deep.10000.mp.safe,1664019531,127613098,8164582,2621050,766509056
All.catch.deep.10000.mtl.logict,4058760937,280899050,16926365,2937784,766509056
All.catch.deep.10000.effective,1085773437,53062940,5845703,613605,766509056
All.catch.deep.10000.effective.naive,3027867187,230175246,10164133,1255028,766509056
All.catch.deep.10000.handrolled.logict,4144667187,353466444,18046439,2989888,766509056
All.local.shallow.10000.heftia,4568934375,442769410,14981824,7605106,766509056
All.local.shallow.10000.freer,691208203,65485346,5771832,607439,766509056
All.local.shallow.10000.polysemy,2720832812,213761110,14008645,3613062,766509056
All.local.shallow.10000.fused,1474663281,139450282,7688302,731004,766509056
All.local.shallow.10000.effectful,1081310156,106891036,6726806,1241177,766509056
All.local.shallow.10000.eff,408641000000,35625035016,411560571,14407888,766509056
All.local.shallow.10000.effective,643822265,29479410,4008436,310540,766509056
All.local.shallow.10000.effective.naive,674680468,66856684,4648325,369189,766509056
All.local.shallow.10000.mp,1437264843,85720014,7193783,1364239,766509056
All.local.shallow.10000.mp.safe,1424010156,110000568,7193838,1363735,766509056
All.local.shallow.10000.mtl.logict,366118945,26734114,2327805,163735,766509056
All.local.shallow.10000.handrolled.logict,341030859,26772546,2327860,163750,766509056
All.local.deep.10000.heftia,13485287500,1007125016,34184816,25006703,766509056
All.local.deep.10000.freer,695919531,60632380,5772648,607726,766509056
All.local.deep.10000.polysemy,5724800000,489936468,31611405,7630747,766509056
All.local.deep.10000.fused,6057175000,491613520,28490609,1794715,766509056
All.local.deep.10000.effectful,1096750390,76580086,6742816,1269619,766509056
All.local.deep.10000.eff,394278300000,41119501250,412320940,12509900,766509056
All.local.deep.10000.effective,652442187,54820350,4020185,312854,766509056
All.local.deep.10000.effective.naive,1652103125,108854584,6818542,613191,766509056
All.local.deep.10000.mp,1419296875,139020538,7197133,1365823,766509056
All.local.deep.10000.mp.safe,1428834375,118123784,7196622,1360168,766509056
All.local.deep.10000.mtl.logict,837336718,55105100,5048099,403197,766509056
All.local.deep.10000.handrolled.logict,1680935937,166478754,9048608,914245,766509056
All.nondet.shallow.32.heftia,7714484375,639096178,53827061,6605356,766509056
All.nondet.shallow.32.freer,6096196875,532198154,34531872,5916922,766509056
All.nondet.shallow.32.polysemy,13679212500,958770046,81643717,4743957,766509056
All.nondet.shallow.32.fused,2266739062,218722386,18238494,9785,766509056
All.nondet.shallow.32.eff,28555787500,1685492138,131920587,8817592,766509056
All.nondet.shallow.32.effective,4306573437,242340854,24814446,41741,766509056
All.nondet.shallow.32.effective.naive,4376332812,217730130,29682928,48284,766509056
All.nondet.shallow.32.mp,3118790625,230335964,30881951,19131,766509056
All.nondet.shallow.32.mp.safe,3129478125,214187360,30881958,19105,766509056
All.nondet.shallow.32.mtl.listt,7523228125,477693996,74123036,93063,766509056
All.nondet.shallow.32.mtl.logict,2605115625,217855910,17396950,20815,766509056
All.nondet.shallow.32.handrolled.listt,7035250000,439107848,69116541,80841,766509056
All.nondet.shallow.32.handrolled.logict,2111944531,138000332,12390833,13946,766509056
All.nondet.deep.32.heftia,15931831250,925899846,137695422,7703693,766509056
All.nondet.deep.32.freer,8171218750,423804758,64288371,6915269,766509056
All.nondet.deep.32.polysemy,23461500000,1858172488,200681256,6295175,766509056
All.nondet.deep.32.fused,11094131250,1033147258,63405414,51152,766509056
All.nondet.deep.32.eff,55240712500,2080158136,403885291,11711616,766509056
All.nondet.deep.32.effective,4451121875,426082752,26178478,45141,766509056
All.nondet.deep.32.effective.naive,9882137500,858678054,42408074,70522,766509056
All.nondet.deep.32.mp,8047778125,565962780,80929142,49525,766509056
All.nondet.deep.32.mp.safe,8111918750,438730512,80928642,48749,766509056
All.nondet.deep.32.mtl.listt,83857550000,7314625566,543614063,1830096,766509056
All.nondet.deep.32.mtl.logict,7289165625,584508168,43632093,120579,766509056
All.nondet.deep.32.handrolled.listt,84693350000,6727434116,539106091,1791770,766509056
All.nondet.deep.32.handrolled.logict,7371601562,250998630,39124284,110622,766509056
